Date;Hour;Stock;Shares;Transaction;Value;money;kind;Sum
08/12/11;16:00:00;Sara Lee (SLE);20;Acquired;18,85;USD;cost;377
08/12/11;16:00:00;Altria (MO);13;Acquired;28,79;USD;cost;374,27
07/12/11;21:31:00;Norfolk Southern (NSC);16;Sold;74,67;USD;income;1194,72
07/12/11;21:31:00;Comcast (CMCSA);52;Sold;23,16;USD;income;1204,32
07/12/11;21:31:00;Nike (NKE);12;Sold;95,7;USD;income;1148,4
07/12/11;17:01:00;Orange (FTE);94;Sold;12,53;EUR;income;1177,35
06/12/11;17:11:00;Comcast (CMCSA);52;Acquired;23,15;USD;cost;1203,8
06/12/11;16:00:00;Nike (NKE);12;Acquired;96,37;USD;cost;1156,44
06/12/11;16:00:00;Norfolk Southern (NSC);16;Acquired;75,02;USD;cost;1200,32
06/12/11;09:35:00;Orange (FTE);94;Acquired;12,69;EUR;cost;1192,86
05/12/11;08:31:00;Hang Seng Bank (11);100;Sold;94,45;HKD;income;9445
02/12/11;21:31:00;Campbell Soup (CPB);11;Sold;32,57;USD;income;358,27
02/12/11;21:31:00;General Electric (GE);23;Sold;16,18;USD;income;372,14
02/12/11;21:31:00;Coca-Cola (KO);5;Sold;66,24;USD;income;331,2
02/12/11;04:30:00;Hang Seng Bank (11);100;Acquired;95,4;HKD;cost;9540
01/12/11;17:12:00;Coca-Cola (KO);5;Acquired;67,23;USD;cost;336,15
01/12/11;16:08:00;Campbell Soup (CPB);11;Acquired;32,6;USD;cost;358,6
01/12/11;16:00:00;General Electric (GE);23;Acquired;15,9;USD;cost;365,7
30/11/11;21:31:00;Amgen (AMGN);18;Sold;57,54;USD;income;1035,72
30/11/11;21:31:00;Capital One (COF);25;Sold;44,28;USD;income;1107
30/11/11;17:01:00;Metro (MEO);30;Sold;36,78;EUR;income;1103,43
30/11/11;08:31:00;New World Development (17);1000;Sold;6,29;HKD;income;6290
29/11/11;16:00:00;Capital One (COF);25;Acquired;41,6;USD;cost;1040
29/11/11;16:00:00;Amgen (AMGN);18;Acquired;55,71;USD;cost;1002,78
29/11/11;09:30:00;Metro (MEO);30;Acquired;34,9;EUR;cost;1047
29/11/11;08:36:00;New World Development (17);1000;Acquired;6,53;HKD;cost;6530
28/11/11;21:31:00;ConocoPhillips (COP);7;Sold;66,95;USD;income;468,65
28/11/11;21:31:00;Baker Hughes (BHI);10;Sold;50,86;USD;income;508,6
28/11/11;21:31:00;Sprint Nextel (S);198;Sold;2,42;USD;income;479,16
24/11/11;17:01:00;Fresenius Medical (FME);2;Sold;48,38;EUR;income;96,762
23/11/11;16:00:00;ConocoPhillips (COP);7;Acquired;67,28;USD;cost;470,96
23/11/11;16:00:00;Sprint Nextel (S);198;Acquired;2,61;USD;cost;516,78
23/11/11;16:00:00;Baker Hughes (BHI);10;Acquired;49,62;USD;cost;496,2
23/11/11;09:30:00;Fresenius Medical (FME);2;Acquired;49,3;EUR;cost;98,59
23/11/11;08:31:00;Bank of East Asia (23);200;Sold;24,95;HKD;income;4990
22/11/11;15:30:00;Walgreen (WAG);21;Sold;30,71;USD;income;644,91
22/11/11;11:00:00;Volkswagen (VOW3);9;Sold;116,31;EUR;income;1046,79
22/11/11;04:31:00;Bank of East Asia (23);200;Acquired;26,3;HKD;cost;5260
21/11/11;21:31:00;Baker Hughes (BHI);3;Sold;52,42;USD;income;157,26
21/11/11;21:31:00;Amgen (AMGN);3;Sold;55,13;USD;income;165,39
21/11/11;16:00:00;Walgreen (WAG);21;Acquired;31,97;USD;cost;671,37
21/11/11;09:30:00;Volkswagen (VOW3);9;Acquired;120,44;EUR;cost;1083,96
